,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__l2_regularization,param_classifier__learning_rate,param_classifier__max_bins,param_classifier__max_leaf_nodes,param_classifier__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3114450454711914,0.013320729252323579,0.03174142837524414,0.0022496891373650534,25.296259683376775,0.08402182173710147,10,12,49,"{'classifier__l2_regularization': 25.296259683376775, 'classifier__learning_rate': 0.08402182173710147, 'classifier__max_bins': 10, 'classifier__max_leaf_nodes': 12, 'classifier__min_samples_leaf': 49}",0.8394977480551385,0.8498498498498499,0.8467103467103467,0.840977340977341,0.8431613431613432,0.8440393257508039,0.0037860025202841917,126
1,0.11371850967407227,0.006129856102986943,0.021765756607055663,0.0025251243659542475,1.8288948970106592e-05,4.753350789635983,19,66,33,"{'classifier__l2_regularization': 1.8288948970106592e-05, 'classifier__learning_rate': 4.753350789635983, 'classifier__max_bins': 19, 'classifier__max_leaf_nodes': 66, 'classifier__min_samples_leaf': 33}",0.7238979118329466,0.6909636909636909,0.677996177996178,0.7153972153972153,0.7114387114387114,0.7039387415257485,0.01689546205987827,440
2,0.12303357124328614,0.016302069487323,0.023618173599243165,0.0022896882152667296,1.742785477718584e-06,1.4436542402953023,4,3,1,"{'classifier__l2_regularization': 1.742785477718584e-06, 'classifier__learning_rate': 1.4436542402953023, 'classifier__max_bins': 4, 'classifier__max_leaf_nodes': 3, 'classifier__min_samples_leaf': 1}",0.812747372730995,0.8121758121758121,0.8054873054873055,0.8054873054873055,0.8166803166803167,0.8105156225123469,0.004388811619341972,213
3,0.1802201747894287,0.0022879401568597613,0.02551612854003906,0.0020715017562115646,0.00016478523361704485,0.13024487681331606,5,2,3,"{'classifier__l2_regularization': 0.00016478523361704485, 'classifier__learning_rate': 0.13024487681331606, 'classifier__max_bins': 5, 'classifier__max_leaf_nodes': 2, 'classifier__min_samples_leaf': 3}",0.8149310768390883,0.8112203112203112,0.8158613158613158,0.8124488124488124,0.8157248157248157,0.8140372664188688,0.0018672064000240841,208
4,0.5396086215972901,0.03991980175058601,0.028440189361572266,0.0012750015586577691,0.01708168060195844,0.11272142582528188,2,68,54,"{'classifier__l2_regularization': 0.01708168060195844, 'classifier__learning_rate': 0.11272142582528188, 'classifier__max_bins': 2, 'classifier__max_leaf_nodes': 68, 'classifier__min_samples_leaf': 54}",0.8060597788999591,0.8016653016653017,0.7986622986622987,0.7993447993447993,0.8035763035763036,0.8018616964297325,0.002726655900835234,253
5,0.2142935276031494,0.0065216792301407015,0.028632640838623047,0.0016897778022707615,9.885900526486587e-06,0.02256920764760252,252,5,38,"{'classifier__l2_regularization': 9.885900526486587e-06, 'classifier__learning_rate': 0.02256920764760252, 'classifier__max_bins': 252, 'classifier__max_leaf_nodes': 5, 'classifier__min_samples_leaf': 38}",0.8259860788863109,0.8205023205023205,0.8243243243243243,0.8230958230958231,0.8254163254163254,0.8238649744450208,0.001950169814912275,188
6,0.4528653621673584,0.0325128697659284,0.024983692169189452,0.0019916032898255774,7.404151902113202e-06,0.3510086514801167,3,163,1,"{'classifier__l2_regularization': 7.404151902113202e-06, 'classifier__learning_rate': 0.3510086514801167, 'classifier__max_bins': 3, 'classifier__max_leaf_nodes': 163, 'classifier__min_samples_leaf': 1}",0.8064692234202265,0.8037128037128037,0.8022113022113022,0.8011193011193011,0.8016653016653017,0.8030355864257871,0.0019223818783134102,242
7,0.0864166259765625,0.002675723961559811,0.021329593658447266,0.0022310832206499085,1.1129606390333702,4.060618572454931,5,3,18,"{'classifier__l2_regularization': 1.1129606390333702, 'classifier__learning_rate': 4.060618572454931, 'classifier__max_bins': 5, 'classifier__max_leaf_nodes': 3, 'classifier__min_samples_leaf': 18}",0.291251535416951,0.2798252798252798,0.27559377559377557,0.28883428883428885,0.28856128856128854,0.2848132336463168,0.006025721869842264,495
8,0.3880741119384766,0.011162272134150188,0.030072879791259766,0.0028951107268704313,870.4215150257618,0.0012695650980407954,2,15,20,"{'classifier__l2_regularization': 870.4215150257618, 'classifier__learning_rate': 0.0012695650980407954, 'classifier__max_bins': 2, 'classifier__max_leaf_nodes': 15, 'classifier__min_samples_leaf': 20}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,327
9,0.6503571987152099,0.01223810544388357,0.035143470764160155,0.0014292229300909658,12.432544535024725,0.01221058597070383,3,50,11,"{'classifier__l2_regularization': 12.432544535024725, 'classifier__learning_rate': 0.01221058597070383, 'classifier__max_bins': 3, 'classifier__max_leaf_nodes': 50, 'classifier__min_samples_leaf': 11}",0.8030571857513307,0.7947037947037947,0.7908817908817909,0.7952497952497952,0.7967512967512967,0.7961287726676016,0.003967982496245335,276
10,1.9716783046722413,0.050880032316466886,0.03737316131591797,0.0013610684817333635,11.646739465711404,0.014863160677400894,6,191,1,"{'classifier__l2_regularization': 11.646739465711404, 'classifier__learning_rate': 0.014863160677400894, 'classifier__max_bins': 6, 'classifier__max_leaf_nodes': 191, 'classifier__min_samples_leaf': 1}",0.8244847823119967,0.8211848211848212,0.8218673218673219,0.8235053235053235,0.8251433251433251,0.8232371148025577,0.0015066844237876533,189
